0.122649 0.186231 0.879663	0.226908 0.417312 0.554624	0.517226 0.458739 -0.558099	0.487276 0.926283 -50.3585
0.55524 0.647546 1.00909	0.532312 0.601878 2.91427	0.501391 1.1028 -3.31167	0.50823 1.01981 0.00899486
0.00272278 0.494923 9.89321	0.477903 0.56564 0.139921	0.578844 1.27144 0.229199	0.484641 0.894858 -1.27919
0.464306 0.226929 1.57717	0.730947 1.09064 -2.47256	0.511889 1.38186 -2.88647	0.521186 0.964163 4.9576
0.406665 2.72767 -2.40378	0.542062 0.710116 -0.141449	0.444166 0.787036 7.18828	0.529214 1.0108 -0.0285818
0.9404 2.59177 0.348155	0.353086 1.11248 1.81354	0.524095 1.30791 0.468652	0.531305 1.00047 -1.5358
0.796017 0.340768 3.01559	0.305817 0.900711 -0.151592	0.598084 0.9445 0.348087	0.519706 0.873092 -1.3001
0.316772 0.678492 0.922753	0.393978 0.348546 0.350619	0.450164 0.926986 -5.56019	0.473259 0.883152 -0.0966255
0.276452 0.414899 -0.0104638	0.637323 1.69667 0.893833	0.45199 1.10945 0.0114567	0.454552 0.818572 -0.594704
0.762162 0.728633 0.201195	0.510975 0.751326 2.83342	0.618703 0.635292 1.09787	0.521989 0.907649 -19.6699
0.191122 1.10035 -0.70356	0.697228 0.348865 0.980481	0.422418 1.34773 4.04914	0.495839 1.12789 -0.123055
0.128552 1.19383 -0.0313013	0.434623 0.594737 -3.08744	0.512582 0.855806 2.87701	0.523172 0.801535 1.88145
0.540384 0.570506 0.55754	0.512486 0.601276 -0.767206	0.57059 0.933716 -2.66812	0.531034 1.11316 4.60226
0.507188 1.25805 -0.36614	0.554961 0.123304 -0.622101	0.583819 0.523985 0.307139	0.485261 1.1458 -0.545982
0.1087 0.0152704 -0.478705	0.407266 0.693287 1.55562	0.598611 0.805876 -8.48129	0.486254 0.899263 0.0447502
0.227309 0.589726 -0.450521	0.0591223 1.51747 0.960864	0.569828 0.855106 1.0205	0.492688 1.01706 2.61363
0.353772 0.5238 -3.3197	0.396116 0.737606 -0.101764	0.516362 1.14307 0.935623	0.496841 1.07727 -0.953674
0.937103 1.0803 1.16801	0.533964 0.422686 -1.62215	0.585318 1.09531 0.10219	0.465912 1.06753 -1.02929
0.659979 0.12239 -1.37568	0.329002 0.353429 1.1315	0.522683 0.861913 2.25536	0.55458 0.804228 2.76566
0.600722 0.492372 0.216339	0.469239 0.535887 2.1962	0.443367 0.823124 1.30086	0.485074 0.989408 -0.694052
0.123018 1.36288 0.376284	0.27581 0.846632 -0.371334	0.448181 0.77349 -1.5231	0.479529 1.12178 -4.08822
0.797921 0.792314 -32.123	0.645693 0.728972 -0.153873	0.554412 1.05739 -0.206334	0.540131 0.836182 0.272902
0.338997 0.764943 -0.901853	0.735921 1.03491 -0.0922903	0.640377 0.732858 7.55405	0.467972 1.21751 -0.303566
0.304051 0.894306 7.20985	0.448898 2.49669 -0.51147	0.637308 0.471001 1.73322	0.521439 0.947199 -1.7135
0.668515 6.02932 -4.89326	0.580938 0.439553 -1.95344	0.577852 0.8933 -0.331367	0.466644 0.918236 0.17817
0.783439 0.837361 -0.311215	0.631643 0.935006 -2.65754	0.413865 1.27553 -0.493598	0.480816 0.968344 0.659223
0.3883 0.185814 -1.77519	0.447138 0.577225 -9.09587	0.409154 0.49372 -0.52199	0.506947 0.839287 1.86408
0.875059 0.370542 -2.07049	0.810659 0.823643 0.143116	0.39676 1.37369 -4.37198	0.524256 1.00289 0.343715
0.713437 2.14302 0.862152	0.288063 0.514968 0.535168	0.542276 1.00889 -0.0485151	0.541482 1.04172 -0.108696
0.674181 0.60912 2.01003	0.320433 0.368066 1.59466	0.35694 1.19791 -5.48698	0.493518 0.763004 -24.8037
0.917968 1.0082 -1.62046	0.613475 0.616775 1.27918	0.567182 1.20532 1.1489	0.528796 1.20369 -5.74429
0.40814 0.0514817 2.43432	0.688252 0.518615 0.183789	0.494968 0.972078 10.3421	0.554934 0.845664 -0.719809
0.666114 0.150184 -9.13033	0.653026 2.16586 1.65105	0.569898 1.0063 0.464218	0.490875 1.04516 -1.79982
0.0427567 3.37493 1.96398	0.60846 1.04233 -1.63181	0.252892 1.5293 -0.214819	0.519862 0.972519 1.49865
0.642261 1.66319 -1.10457	0.802984 0.627342 1.01693	0.572781 0.613975 -7.74757	0.491455 1.01363 1.4691
0.265938 0.289848 3.33285	0.485576 1.67501 -0.0621918	0.388292 1.2294 -1.82254	0.502311 0.780261 -1.65284
0.593749 0.106655 -0.836972	0.191626 0.92199 6.72924	0.579511 0.833037 -0.193792	0.461871 0.971626 -1.05207
0.152361 0.371735 1.32224	0.428494 0.868465 -2.06419	0.477008 0.832902 4.27423	0.52534 1.08435 -0.0266177
0.924232 0.0716882 1.66498	0.419978 0.748484 1.56775	0.470731 0.754404 -0.0459779	0.574713 1.03008 1.03928
0.584638 2.30982 -1.04485	0.491824 0.485985 -10.8983	0.489776 0.770762 0.640275	0.498963 1.0626 -0.272876
0.949207 0.563073 2.35595	0.823841 1.29349 -0.40392	0.529947 0.92515 -0.174652	0.504185 1.19754 5.63827
0.151972 1.965 0.85665	0.393618 1.04926 -1.96527	0.462457 0.980857 -3.33513	0.518341 1.04803 -0.719447
0.985176 1.53278 0.502536	0.222104 0.142679 0.263941	0.609862 1.1936 1.85378	0.545628 0.9862 -3.33473
0.27989 0.863548 8.65227	0.246587 0.413691 -4.40691	0.498777 1.27992 0.780348	0.492179 0.980316 269.841
0.950077 0.713976 -0.354279	0.764445 1.17764 -0.433138	0.594649 1.06753 0.865002	0.505295 0.981645 -0.910383
0.333182 1.17599 -0.130984	0.815598 0.418993 -0.248802	0.645402 0.838627 0.0580774	0.557299 0.828927 -3.4225
0.847824 1.173 0.0317649	0.805433 1.0254 -0.388904	0.579243 1.32007 -0.471607	0.545022 1.13565 0.370344
0.924314 0.834031 0.133405	0.188019 0.581195 11.9462	0.585863 0.873614 2.26512	0.516494 1.17032 -0.489634
0.115876 0.981527 0.606664	0.785898 1.70384 -0.895383	0.465594 0.550869 1.08404	0.445066 1.05538 0.71374
0.971477 2.45496 0.086429	0.683497 0.857039 3.08079	0.424039 0.713539 -0.956185	0.472826 0.950595 0.268889
0.951085 0.213802 3.98382	0.408052 0.14221 -0.555177	0.548334 1.02359 13.6716	0.531949 0.947882 -0.352684
0.10362 1.48078 -0.166744	0.441363 0.547318 -4.26458	0.568879 0.881138 5.77692	0.474649 1.00088 2.2172
0.0969716 1.27172 -0.269459	0.897324 0.566351 0.598333	0.496507 0.854442 -0.261886	0.486764 0.921076 0.810208
0.510107 0.482603 -1.20357	0.450069 1.09406 -2.38573	0.376492 0.624951 0.551475	0.55172 0.964463 1.6993
0.917496 0.268631 -1.36001	0.238077 0.53028 1.5148	0.589379 0.797399 -0.89167	0.492975 1.04027 2.80237
0.344377 0.470185 20.0308	0.80436 0.711104 -0.127749	0.527819 1.63031 0.093085	0.443856 0.930952 0.530156
0.985916 0.274943 1.23857	0.276362 2.28697 1.10065	0.475759 0.667252 0.251559	0.491341 0.954555 7.39349
0.906995 0.202665 -1.45578	0.610197 1.31122 2.41048	0.481646 1.4091 0.22622	0.509701 0.926485 -0.181614
0.0961431 3.30741 0.471992	0.762495 0.761157 0.750762	0.528303 0.990057 -0.347091	0.503192 0.995636 0.470571
0.838807 0.830048 -22.9559	0.560277 1.07705 -0.242564	0.492854 1.14128 0.589466	0.524234 1.03144 2.73607
0.35271 1.15944 -0.174726	0.458668 2.89268 3.84278	0.574843 1.59298 -0.816952	0.481875 0.934078 -0.673167
0.672912 0.428121 -0.161273	0.567322 0.922835 -0.695398	0.561275 1.02446 -2.1106	0.499774 1.30754 0.733395
0.0737708 4.02638 -0.449471	0.498701 1.4618 3.33943	0.513357 0.793045 -0.979356	0.485792 1.08309 2.79243
0.585922 5.76052 10.0487	0.198501 0.75838 2.24119	0.501589 0.847313 -0.456727	0.536307 1.24612 0.27765
0.510853 6.01582 -0.0585638	0.832778 1.01001 2.98816	0.548756 1.27067 -1.85441	0.515018 1.06794 2.25497
0.269321 0.122259 2.09531	0.670583 1.56803 -0.341005	0.611009 0.757769 -0.32883	0.493071 1.03012 -1.25707
0.0814197 0.148597 -0.0896579	0.331072 0.827373 1.40253	0.508705 0.89303 -5.15698	0.46712 0.884012 -0.2932
0.557847 0.147735 -3.74971	0.446889 0.95243 -1.90852	0.458326 0.981441 26.6395	0.534419 1.08138 -5.65933
0.37779 0.0794044 2.66546	0.406048 1.47114 0.442871	0.470093 1.1082 0.705765	0.476356 1.03416 4.40667
0.362877 1.4136 -0.88716	0.567051 2.76459 -0.769852	0.511923 0.612207 -8.25975	0.489068 0.987544 1.40956
0.265818 1.09677 2.91264	0.730385 0.652955 -1.30322	0.413124 1.46214 -1.57688	0.494049 0.96995 0.591944
0.638015 0.281881 -5.01225	0.219259 0.587226 2.86006	0.339857 1.06831 1.42765	0.492964 1.09325 -0.819556
0.774758 0.680397 -0.00432344	0.100321 1.59965 -1.02749	0.359158 0.967072 1.8902	0.496524 1.08145 -0.654422
0.17513 1.81172 3.35603	0.650202 1.22538 0.00944068	0.413719 0.905566 -0.597012	0.492038 1.05482 -0.108522
0.192706 0.332005 -0.0967146	0.484356 0.291864 -0.840191	0.771963 0.745537 -0.440692	0.520566 0.926672 1.56707
0.63556 0.49685 0.0382291	0.655631 0.694068 0.960839	0.478993 0.748059 -0.282112	0.552283 0.878948 -0.277307
0.306518 3.75808 0.740552	0.503974 1.92954 1.16361	0.427812 1.32076 3.59264	0.454985 0.825066 -1.20815
0.513823 0.910988 -0.756701	0.39747 3.24425 2.26561	0.354735 1.54428 -6.55193	0.550614 1.03243 1.13657
0.158377 0.124748 0.6182	0.153037 1.78568 1.03945	0.593462 1.26985 -1.40673	0.480445 0.932801 0.947819
0.147904 0.520738 3.0261	0.382059 1.9559 -0.733364	0.418788 0.713058 -0.704834	0.531119 1.08307 2.38499
0.916719 0.683017 2.80244	0.549933 0.327751 -0.238015	0.5853 0.507522 -8.98204	0.518314 0.876181 -2.07456
0.688462 0.143015 -0.05562	0.776443 0.531702 6.70936	0.433192 1.3735 1.28154	0.517357 1.15213 -0.456611
0.267345 0.988265 0.335462	0.443305 0.540152 1.14536	0.398513 0.890092 -0.389169	0.502879 1.01719 -0.811846
0.630232 0.701963 -4.76907	0.941094 0.277359 3.80249	0.667121 0.928932 -0.539699	0.492501 1.06512 20.259
0.831662 1.47933 -0.176047	0.507242 0.314618 1.25012	0.459722 0.973649 5.62732	0.47989 0.963188 2.9919
0.528452 1.31278 -0.272249	0.660992 0.979181 3.0849	0.468338 0.421529 1.67015	0.50517 0.877806 -1.4628
0.555673 0.107456 -0.0106502	0.552097 0.257433 -1.55533	0.525909 1.14271 -1.86748	0.497941 1.1066 0.574745
0.163992 1.0337 -0.661343	0.543153 0.463087 -0.753179	0.592999 1.26434 -4.4114	0.509924 0.933152 1.42953
0.542181 1.19126 4.28843	0.46672 3.02493 10.314	0.369324 1.05676 0.592935	0.497854 1.1057 0.605139
0.236551 0.253144 -0.675346	0.835327 1.25522 0.45921	0.389341 1.18246 -2.92547	0.517469 0.994965 4.45058
0.375082 1.54828 0.372162	0.25857 0.553476 -0.202212	0.483087 1.44499 1.03497	0.508759 1.05665 1.8308
0.243234 0.16544 0.739963	0.36328 0.280029 0.919228	0.492712 1.26824 -6.77105	0.470717 1.12194 2.41195
0.544722 0.531653 -0.0387242	0.169224 1.39928 0.0826647	0.533214 1.46537 -0.568753	0.488215 0.997622 -0.143217
0.392162 1.71907 1.46198	0.175717 0.487507 0.808179	0.564037 0.709362 -1.13554	0.478958 1.1197 3.92467
0.882483 1.67427 0.325687	0.150786 0.151632 4.84365	0.575364 0.90239 -0.66374	0.467272 1.18371 0.908481
0.782783 0.414037 5.18099	0.556999 0.224232 0.710944	0.415635 0.62497 2.05059	0.483453 0.966882 -1.09971
0.239168 1.08862 0.485845	0.567989 1.3103 2.29334	0.541616 0.402426 1.286	0.49998 0.8538 -1.6755
0.605093 0.618558 0.696343	0.486292 0.989266 0.582775	0.528814 1.244 0.532374	0.523902 0.968388 39.8844
0.789363 0.0791726 1.26462	0.353025 0.709923 2.93678	0.364605 1.64585 0.789446	0.460451 1.11626 1.70209
0.579802 1.03514 -0.793719	0.493195 1.99038 13.3034	0.476219 0.604874 1.43661	0.476294 0.951467 -3.67839
0.289445 0.154336 -5.38116	0.4345 0.160049 -1.15278	0.4112 0.882622 0.50853	0.509171 0.969342 -0.483082
0.116767 0.774022 1.52215	0.227109 0.713128 -2.56395	0.505172 0.58636 -7.50483	0.548759 0.884538 0.935787
0.908205 0.428529 -3.05657	0.475273 1.80747 -0.153127	0.60125 0.523288 0.929642	0.483841 1.07418 16.2973
0.933158 0.246089 -1.21534	0.40116 1.45975 0.27322	0.490439 1.129 0.367096	0.453136 0.928746 0.835072
0.176765 0.000519761 -0.0288578	0.610306 0.216346 -0.00841163	0.431538 1.01021 -0.725044	0.468631 0.977659 0.529018
0.0270522 0.541443 11.3321	0.509348 0.224138 5.09592	0.587691 0.681617 -0.683197	0.526055 1.14962 -2.30206
0.787481 0.845132 -8.22085	0.236919 1.1774 0.120916	0.441583 1.07679 -0.337279	0.489329 0.840864 -0.8135
0.0644457 2.96694 1.84286	0.70316 0.274498 -3.69344	0.561669 1.35177 0.029212	0.554434 1.03403 1.7712
0.0537989 0.0680066 0.0788665	0.675175 0.393347 0.91728	0.364178 0.490169 -1.26187	0.470454 1.04389 -1.36424
0.234265 1.03051 -0.716984	0.244229 0.312143 0.735492	0.462368 0.850597 0.527568	0.506378 1.06142 0.0474516
0.557967 0.444702 0.513457	0.322146 1.49958 -0.681011	0.405116 0.838264 1.33558	0.533981 0.996082 0.418178
0.630908 0.0787444 0.373808	0.753118 2.01341 0.169575	0.502666 1.54305 -1.99233	0.519574 1.1861 0.680475
0.437019 0.766628 -3.61812	0.344927 2.0372 1.41718	0.586298 1.31772 1.4055	0.477958 0.974365 0.352309
0.0255961 0.597348 0.873431	0.718986 2.08766 -0.604757	0.463504 1.3732 -1.51909	0.535352 1.09932 1.49078
0.632408 0.109511 1.38956	0.505 1.91549 -1.11031	0.644896 0.574821 0.699084	0.516846 1.07628 -3.64339
0.932798 0.126655 5.66283	0.526207 0.596687 3.03229	0.417098 0.671589 -8.1117	0.507682 1.07604 -0.0929615
0.00568107 0.945118 -1.27042	0.330284 0.901132 -0.188958	0.476389 0.821567 -0.319807	0.544039 1.07985 1.27652
0.426059 0.105561 -0.00171477	0.634907 0.0366008 -3.04694	0.601543 0.912539 -1.74286	0.512489 1.06862 -1.34185
0.125561 1.5877 -0.740953	0.93754 1.51366 -0.446805	0.496548 0.912137 0.212624	0.460593 1.10325 2.44097
0.573597 0.742005 -0.353086	0.50336 2.4005 4.59959	0.575734 1.54475 -2.36399	0.533725 1.16138 6.10926
0.71779 0.715939 0.0453396	0.181013 2.0219 0.964387	0.519859 1.00507 0.365449	0.472805 0.975952 1.02041
0.755724 1.59482 -0.702563	0.779209 1.75879 0.0531851	0.593462 1.25101 -0.495895	0.448771 0.911692 -0.845413
0.716117 0.475007 0.517982	0.725002 1.04637 -0.164634	0.439803 0.759798 0.2534	0.504857 1.09211 -0.0378715
0.227562 4.79905 -1.18889	0.568957 1.40368 -0.936767	0.409144 1.10579 -0.512893	0.516799 1.11858 3.32163
0.670233 0.194332 0.165949	0.807643 0.596544 -1.11288	0.567942 0.516257 -2.14613	0.501355 1.15506 -1.55105
0.675733 0.318421 -3.00676	0.514221 0.608542 -1.22764	0.501567 0.836137 -109.02	0.509852 0.986712 0.148018
0.486142 0.560684 -0.900118	0.517319 0.934988 0.352014	0.449264 1.2176 -0.826894	0.528166 1.02763 0.886763
0.920404 1.35121 -6.89225	0.689121 0.131 1.74999	0.50049 1.33754 -0.0617601	0.547464 0.971963 4.93071
0.342881 0.518798 1.57717	0.415964 2.77494 -17.2773	0.613751 1.68532 0.767815	0.528573 1.13737 0.636837
0.610643 0.789433 -17.5916	0.654053 0.352266 0.0906154	0.435742 1.06122 -0.835073	0.471751 1.14999 -2.38865
0.283634 0.365017 -0.600143	0.82686 1.94355 -7.17507	0.529087 0.880162 0.213893	0.535329 0.940737 -2.13411
0.669617 0.166111 -0.791421	0.462321 0.655757 0.617076	0.398687 1.25369 -0.629017	0.501008 0.912313 0.0201672
0.951702 1.48118 1.07765	0.507524 1.14596 -70.1483	0.454783 1.35505 0.421633	0.537829 1.07648 0.121843
0.573755 0.465514 0.770739	0.560669 1.53301 1.55079	0.398416 1.46448 0.0763904	0.515905 0.954771 0.320646
0.00237136 0.564421 0.299597	0.137674 1.47627 -13.2001	0.619274 1.05737 0.764079	0.507161 0.949473 -1.25584
0.513741 0.677185 3.61451	0.333154 1.43447 2.80622	0.483945 0.981383 -0.661838	0.533517 0.969779 -0.29106
0.127125 0.0589467 -0.425194	0.392279 1.09307 3.14298	0.591662 0.891883 -1.98634	0.530445 1.01593 0.280999
0.817917 0.426595 0.607295	0.427992 0.317353 -3.1272	0.550747 1.0521 0.343987	0.520471 1.00804 -0.0866203
0.409034 0.806954 1.95107	0.102037 0.423976 -0.940113	0.429197 0.679065 1.42064	0.489411 1.01437 -0.681674
0.656145 0.191241 0.605789	0.834433 2.77378 -0.0171432	0.604413 0.857261 1.34505	0.51762 0.841097 0.860838
0.72036 0.84599 -0.23821	0.827538 0.439711 -5.73771	0.568372 1.07485 -0.182092	0.546807 0.779454 0.344945
0.580197 1.96223 -0.516307	0.234389 0.870965 0.637599	0.352733 0.829323 -1.66438	0.544733 1.06052 0.13702
0.725854 2.36948 3.8184	0.725521 0.737399 2.33199	0.596972 0.551697 1.78845	0.557779 1.02617 2.72324
0.649006 1.7102 -3.72724	0.671909 1.39466 4.34157	0.564377 1.09415 3.35877	0.504782 0.938113 4.40852
0.567914 0.374461 0.463616	0.440303 0.426893 -1.00535	0.68968 0.669869 2.73946	0.552002 1.03188 -0.710889
0.646935 1.18011 0.496608	0.730587 0.754356 0.532545	0.479175 1.30541 8.27251	0.543507 0.906535 -0.72183
